numSamples,sampFreq,DIPort,DOPort,AO0,AI0,DO0,DO1,DI1
160,20000,0,0,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,0,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,5,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,1,1,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
,,,,0,0,0,0,0
