numSamples,sampFreq,DIPort,DOPort,AO0,AI0,DO2,DI1
100,100,0,0,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
,,,,0,0,0,0
,,,,5,0,5,0
